DISTRICT NAME,UNIT NAME, YEAR,VEHICLE_INVOLVED,ACCIDENT CLASIFICATION,ACCIDENT SPOT,ACCIDENT LOCATION,MAIN CAUSE,HIT-RUN,SEVERITY,COLLISION TYPE,JUNCTION CONTROL,ROAD CHARACTER,ROAD-TYPE,SURFACE-TYPE,SURFACE CONDITION,ROAD CONDITION,WEATHER,LANE-TYPE,ROAD MARKING,SPOT CONDITIONS,SIDE WALK,ACCIDENT-ROAD,Latitude ,Longitude
South Tripura,Sabroom,2024,1,Road Accident, kalachara nature park,Town,Human Error,no,Null,Dis balance,Not Applicable,not applicable,main road,Bitumen(Tar),Not Applicable,Good,Rainy,DuelLane,Center White Line,Null,Asphalted,National Highway 8,23.04651,91.666521
Gomati Tripura,Udaipur,2024,1,Road Accident,Pitra,Village,Human Error,no,Fatal,Hit Fixed Object,Not Applicable,not applicable,Village Road,Bitumen(Tar),Others,Not Applicable,Clear,Null,Null,Null,Not Applicable,Pitra,23.556376,91.516781
North Tripura,Bag Basa,2024,2,Road Accident,Bagbasa,Not Applicable,Human Error,no,grievous injury,Head on,Not Applicable,Stright,Highway,Bitumen(Tar),Smooth,Good,Foggy,DuelLane,Center White Line,Others,Asphalted,Assam-Agartala National Highway,24.353277,92.224945
South Tripura,Sabroom,2024,2,Road Accident,Sachiram Bari,Village,Human Error,no,Fatal,Head on,Not Applicable,Stright,Highway,Bitumen(Tar),Smooth,Very good,Foggy,DuelLane,Center White Line,Null,Asphalted,Agartala-Sabroom national Highway,23.172314,91.607807
South Tripura,Shantibazar,2024,2,Road Accident,Kalshimukh,Village,Human Error,no,grievous injury,Head on,Not Applicable,not applicable,Village Road,Null,Not Applicable,Not Applicable,Foggy,SingleLane,Null,Others,Not Applicable,Kalshimukh Area,23.3121,91.56202
West Tripura,Siddhiashram,2024,2,Road Accident,Siddhiashram Bazar,Town,Human Error,no,Null,Head on,Not Applicable,Curve,main road,Bitumen(Tar),Smooth,Very good,Clear,DuelLane,Center White Line,Null,Asphalted,Agartala-Sabroom national Highway,23.712608,91.663
West Tripura,Agartala,2023,2,Road Accident,Chandrapur,Town,Human Error,no,grievous injury,Head on,Not Applicable,Stright,Town road,Bitumen(Tar),Smooth,Average,Clear,Null,Null,Null,Not Applicable,Agartala-Chandrapur Road,23.839638,91.306487
 South Tripura,Belonia,2023,2,Road Accident,Hrishyamukh,Village,Human Error,no,Fatal,Head on,Not Applicable,not applicable,main road,Bitumen(Tar),Not Applicable,Average,Clear,DuelLane,Null,Null,Null,Hrishyamukh main Road,23.123194,91.527565
Unakoti Tripura,Kailashahar,2023,3,Road Accident,Kailashahar Trands Mall,Town,Human Error,no,grievous injury,Hit Puchcart,Not Applicable,Stright,Town road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Center White Line,Null,Null,Kailashahar main town,24.1781,92.0273
South Tripura,Shantibazar,2024,2,Road Accident,Birchandra Manu Bazar,Village,Human Error,Yes,grievous injury,Hit Puchcart,Not Applicable,Down,Highway,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Center White Line,Null,Null,Agartala-Sabroom national Highway 8,23.3586,91.5301
Shipahijala Tripura,Bishalghar,2024,3,Road Accident,Bishalghar to Agartala Road,Village,Human Error,no,grievous injury,Head on,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Null,Others,Null,Agartala-Sabroom national Highway 8,23.6739,91.2816
Shipahijala Tripura,Melaghar,2024,1,Road Accident,Melaghar pachmurti,Village,Human Error,no,grievous injury,Hit Fixed Animal,Not Applicable,not applicable,Village Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,SingleLane,Null,Others,Null,Melaghar pachmurti Road,23.4972,91.3312
West Tripura,Agartala,2024,1,Road Accident,Indranagar,Town,Human Error,no,Null,Hit fixed person,Not Applicable,Stright,Town road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Center White Line,Null,Not Applicable,Indranagar,23.8551,91.3045
West Tripura,Takarjala,2020,1,Road Accident,Takarjala to Amarendranagar Road,Village,Human Error,no,Null,Tree Collapsed ,Not Applicable,Stright,Village Road,Bitumen(Tar),Smooth,Average,Rainy,SingleLane,Null,Null,Null,Takarjala to Amarendra nagar road,23.7033,91.4193
Unakoti Tripura,Kumarghat,2020,1,Road Accident, Fatikray college Chowmuhani,Not Applicable,Human Error,no,Fatal,Hit Fixed object,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Bad,Foggy,DuelLane,Center White Line,Null,Not Applicable,Fatikray main road,24.1753,92.0102
Dhalai Tripura,Ambassa,2020,2,Road Accident,Adjacent Dhalai council office,Village,Human Error,no,Null,Head on,Not Applicable,Stright,Village Road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Other,Others,Null,Ambassa main Road,23.93051,91.86078
South Tripura,Baikhora,2023,2,Road Accident,Baikhora Panjub national bank,town,Human Error,no,grievous injury,Head on,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Center White Line,Null,Null,8 no national highway,23.271168,91.574923
North Tripura,Boithakhal,2021,2,Road Accident,boithakhal tea garden,Village,Human Error,no,Null,Head on,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Very good,Clear,DuelLane,Center White Line,Null,Null,8 no national highway,,
Khowai Tripura,Khowai,2024,2,Road Accident,Sonatola Village,Village,Human Error,no,Fatal,Head on,Not Applicable,not applicable,Village Road,Null,Not Applicable,Not Applicable,Clear,SingleLane,Null,Null,Not Applicable,Khowai Sonatola Village Road,24.045235,91.638561
Khowai Tripura,Khowai,2024,2,Road Accident,Near Kok English School ,Village,Human Error,no,grievous injury,Head on,Not Applicable,Stright,Village Road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Not Applicable,Null,Null,Baijal Bari under Khowai Police Station,24.019663,91.558477
West Tripura,Khumlung,2022,2,Road Accident,Near khoyerpur bypass,Village,Human Error,no,grievous injury,Head on,Not Applicable,Stright,Village Road,Null,Not Applicable,Not Applicable,Clear,SingleLane,Not Applicable,Null,Null,Khayerpur Bypass,23.826714,91.340619
South Tripura,Shantibazar,2019,2,Road Accident,Shantibazar to Agartala road,Village,Human Error,no,Null,Hit Puchcart,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Very good,Clear,SingleLane,Center White Line,Others,Not Applicable,8 no national highway,23.312328,91.566714
North Tripura,Panisagar,2021,1,Road Accident,Panisagar to Dharmanagar road,Village,Human Error,no,Damage Only,Dis balance,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Not Applicable,Others,Not Applicable,Highway,24.260092,92.161732
North Tripura,Panisagar,2021,2,Road Accident,panisagar Agnipasha Area,Town,Human Error,no,grievous injury,Head on,Not Applicable,Stright,Town road,Bitumen(Tar),Smooth,Average,Clear,DuelLane,Not Applicable,Others,Null,Near Panisagar Police Station,23.315375,91.562007
Khowai Tripura,Teliamura,2024,2,Road Accident,Near Bankumari Temple,Village,Human Error,no,Fatal,Head on,Not Applicable,Stright,Village Road,Null,Not Applicable,Not Applicable,Clear,SingleLane,Null,Null,Null,Hathaikotor(Baramura),23.8342,91.6326
West Tripura,Jirania,2021,1,Road Accident,Khampar Bari,Village,Human Error,no,Fatal,Dis balance,Not Applicable,Stright,Village Road,Bitumen(Tar),Smooth,Average,Foggy,DuelLane,Null,Null,Null,near Khumling Degree College,23.790737,91.455373
Shipahijala Tripura,Melaghar,2024,1,Road Accident,Melaghar area,Town,Human Error,no,Fatal,Dis balance,Not Applicable,not applicable,Town road,Bitumen(Tar),Smooth,Average,Clear,DuelLane,Null,Others,Null,Melaghar main road,23.492876,91.329615
West Tripura,Ranir bazar,2024,2,Road Accident,NIT Road,Town,Human Error,no,grievous injury,Dis balance,Not Applicable,Stright,Town road,Bitumen(Tar),Smooth,Good,Foggy,DuelLane,Center White Line,Null,Null,Near NIT Agartala ,23.841776,91.421283
Khowai Tripura,Chakmaghat,2022,2,Road Accident,Mungiakami ,Village,Human Error,no,grievous injury,Head on,Not Applicable,Hill,Village Road,Bitumen(Tar),Smooth,Average,Clear,SingleLane,Null,Others,Null,Kamchanpur to Agartala maon road,23.833366,91.681511
sepahijala tripura,Spahijala ,2024,1,Road accident,Sepahijala Boating area,Village,Human Error,yes,Fatal,Overturned,not applicable,not applicable,not applicable,Bitumen(tar),Dry,Good,Fine,Single lane,center white line,Not applicable,Not applicable,Agartala-sabroom Highway,23.656272,91.300193
sepahijala tripura,Bishalgarh,2022,1,Road accident,Sepahijala area,Village,Human Error,No,Only damage,Deep Gorge,not applicable,Curve,not applicable,Bitumen(tar),Dry,Bad,Fine,Single lane,center white line,Not applicable,Not applicable,Agartala-sabroom Highway,23.656272,91.300193
Khowai tripura,Khowai,2023,2,Road accident,Poharmura bridge,Village,Human Error,No,Fatal,Head _on,not applicable,Stright,not applicable,Bitumen(tar),Dry,Good,clear,Single lane,center white line,Null,Not Applicable,Agartala Highway,24.071711,91.590731
sepahijala tripura,Babul choumuhani,2024,2,Road accident,Tripura university,Town,Human Error,No,Fatal,Head _on,not applicable,Down,not applicable,Bitumen(tar),Dry,Good,clear,DualLane,center white line,,Not Applicable,Agartala-Bishalgarh road,23.75918,91.267393
west tripura,Null,2019,2,Road accident,Chesrimile,Village,Human Error,No,Fatal,Head _on,not applicable,Hilly area,not applicable,Bitumen(tar),Dry,Good,Fine,DualLane,center white line,Not applicable,Asphalated ,Agartala-Highway,23.625262,91.325812
West tripura,jirania,2023,2,Road accident,suburbs,Town,Human Error,No,Fatal,Head _on,not applicable,Stright,Main road,Bitumen(tar),Dry,Good,clear,Null,center white line,Not applicable,Asphalated , jirania to agartala main road,23.508837,91.376214
sepahijala tripura,sonamura,2023,2,Road accident,Mahanbhog,Village,Human Error,yes,Fatal,Head _on,not applicable,Stright,Main road,Bitumen(tar),Dry,Good,Fine,Null,center white line,Not applicable,,Mohanbhog to sonamura main road,23.8042,91.2638
sepahijala tripura,sonamura,2023,2,Road accident,Dhaliya,Town,Human Error,No,Grievous injury,Head _on,not applicable,Stright,Main road,Bitumen(tar),Dry,Bad,clear,Single lane,center white line,Null,Asphalated ,sonamura to agartala main road,23.8467,91.9099
Sepahijala tripura,sonamura,2022,1,Road accident,Madhuban,Town,Human Error,No,Only damage,Hit fixed object,not applicable,Curve,Highway,Bitumen(tar),Dry,Good,Fine,Single lane,center white line,Null,Asphalated ,sonamura to agartala main road,23.7685,91.2912
Khowai tripura,Teliamura,2023,2,Road accident,Baramura hills,Village,Human Error,No,Grievous injury,Head _on,not applicable,Stright,Highway,Bitumen(tar),Dry,Fine,Foggy,Null,center white line,Null,Asphalated ,Teliamura to agartala,23.8402,91.6341
North tripura,Churaibari,2020,2,Road accident,Assam -Tripura border,Village,Human Error,No,Fatal,Head _on,not applicable,Stright,Highway,Bitumen(tar),Dry,Bad,Light Rain,Null,center white line,Null,Asphalated ,Assam - tripura border road,24.864914,92.359154
West tripura,Agartala,2018,3,Road accident,Amtali,Town,Human Error,No,Fatal,Head _on,not applicable,Stright,state road,Bitumen(tar),Dry,Good,clear,Null,center white line,Null,Asphalated ,Agartala -sabroom Highway,23.773,91.2674
North tripura,Dharmanagar,2018,2,Road accident,Gangasar,Town,Human Error,No,Only damage,Head _on,not applicable,Stright,state road,Bitumen(tar),Dry,Good,clear,Null,Not applicable,Null,Asphalated ,Dharmanagar to agartala main road,24.3783,92.1548
Gomati tripura,Udaipur,2024,2,Road accident,Rajnagar,Village,Human Error,No,Fatal,Head _on,not applicable,Stright,state road,Bitumen(tar),Dry,Good,Fine,Single lane,center white line,Null,Asphalated ,Agartala -Udaipur main road,23.54513,91.51127
Khowai tripura,Khowai,2024,2,Road accident,Sonatala,Village,Human Error,No,Grievous injury,Head _on,not applicable,Stright,Highway,Bitumen(tar),Dry,Good,Fine,Single lane,center white line,Null,Asphalated ,Khowai to Agartala,24.04035,91.623657
west tripura,Agartala,2018,2,Road accident,Teliamura road,Town,Human Error,No,Only damage,High speed,not applicable,Curve,Highway,Bitumen(tar),Dry,Fine,Fine,DualLane,center white line,Null,Asphalated ,Teliamura to agartal Highway,23.846782,91.6326
Gomati tripura,Udaipur,2018,2,Road accident,Barobhaiya Hospital,Town,Human Error,No,Only damage,High speed,not applicable,Stright,Highway,Bitumen(tar),Dry,Fine,clear,Single lane,center white line,Null,Asphalated ,National Highway,,
South tripura,Belonia,2018,2,Road accident,Chittamara,Village,Human Error,No,Only damage,High speed,not applicable,Stright,Highway,Bitumen(tar),Dry,Fine,clear,Single lane,center white line,Null,Asphalated ,National Highway,23.33154,91.50437
Unakoti tripura,Kumarghat,2023,2,Road accident,Sidongcherra,Village,Human Error,yes,Fatal,Hit fixed object,not applicable,Stright,state road,Bitumen(tar),Dry,Fine,clear,Single lane,center white line,Not applicable,Not Applicable,Assam Agartala National Highway,,
sepahijala tripura,sonamura,2012,2,Road accident,Dhanpur,Village,Human Error,yes,Fatal,Hit fixed object,not applicable,Curve,state road,Bitumen(tar),Dry,Fine,clear,Single lane,Not applicable,Not applicable,Not Applicable,sonamura to dhanpur main road,23.4190077,91.279978
west tripura,Null,2012,2,Road accident,Hezamara,Village,Human Error,No,Grievous injury,Head _on,not applicable,Hill,state road,Bitumen(tar),Dry,Good,Foggy,Single lane,center white line,Not applicable,Not Applicable,State road,23.996361,91.430979
South tripura,Agartala,2012,2,Road accident,Kalajhara,Town,Human Error,No,Only damage,Overturned,not applicable,Curve,Highway,Bitumen(tar),Dry,Good,Foggy,Single lane,center white line,Not applicable,Not Applicable,State road,23.610799,91.714959
Gomati tripura,Udaipur,2024,2,Road accident,Bagma,Town,Human Error,No,Fatal,Head _on,not applicable,Stright,Highway,Bitumen(tar),Dry,Good,clear,Single lane,Not applicable,Null,Not Applicable,Agartala t- udaipur main road,23.598925,91.445312
South tripura,Sabroom,2024,2,Road accident,Kalachara,Village,Human Error,No,Fatal,Head _on,not applicable,Stright,state road,Bitumen(tar),Dry,Good,clear,Single lane,center white line,Null,Not Applicable,Agartala-sabroom hHighway,23.04976,91.67073
sepahijala tripura,Null,2024,2,Road accident,Lalsinghmura,Village,Human Error,No,Only damage,Head _on,not applicable,Stright,state road,Bitumen(tar),Dry,Good,clear,Single lane,center white line,Null,Asphalated ,Agartala Highway,23.63116,91.268001
sepahijala tripura,sonamura,2023,2,Road accident,Ghrantali,Village,Human Error,No,Fatal,Head _on,not applicable,Curve,state road,Bitumen(tar),Dry,Fine,clear,Single lane,center white line,Null,Asphalated ,sonamura to agartala main road,23.49426,91.309182
Sepahijala,Bishalghar,2024,1,road accident,by-pass road,rural area,human error,yes,grivous injury,head on,not applicable,straight,state highway,bitumen(tar),Dry,,Other,NULL,center white line,Null,Not Applicable,Kailashahar main town,24.306257,91.999526
West tripura,Agartala,2023,2,road accident,flyover,urban area,human error,no,fatal,head on,not applicable,straight,Flyover,bitumen(tar),dry,,Other,NULL,center white line,Null,Not Applicable,agartala flyover,23.688817,91.284344
Gomati tripura,Bagma,2024,1,road accident,agartala - udaiipur road,urban area,human error,no,fatal,head on,not applicable,straight,highway,bitumen(tar),dry,good,sunny ,NULL,center white line,Null,Not Applicable,Agartala udaipur road,23.824853,91.270518
West tripura,Agartala,2018,2,road accident,agartala - udaiipur ,urban area,human error,no,fatal,head on,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,agartala,23.824853,91.270518
Khowai,Jogendranagar,2018,1,road accident,Bankumari,rural area,human error,no,fatal,fall into gorge,not applicable,turning,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Barmura  hill range,23.8097,91.5602
South Tripura,Sabroom,2012,1,road accident,sabroom,rural area,human error,no,fatal,head on,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,bankumari road,23.8274,91.5633
Sepahijala,Boxanagar,2024,1,road accident,Boxanagar,rural area,human error,yes,fatal,hit by,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,boxanagar,23.6078,91.1695
West tripura,Amarpur,2021,1,road accident,Natunbazar,rural area,human error,yes,fatal,head on,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Natunbazar-Amarpur road,23.446629,91.751992
Dhalai,Longtarai vally,2019,1,road accident,Longtarai vally,rural area,human error,yes,fatal,head on,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Longtarai Road,23.788749,92.065119
Sepahijala,Charilam,2024,1,road accident,Lalshingmura,rural area,human error,yes,fatal,hit fixed object,not applicable,,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,agartala sonamura road,23.630479,91.265584
Khowai,Khowai,2024,2,road accident,Sonatola,rural area,human error,no,Grivious injury,head on,not applicable,curve,vilage road,bitumen(tar),Dry,good,Evening,NULL,center white line,Null,Not Applicable,Khowai,24.041095,91.630748
Khowai,Teliamura,2024,1,road accident,Icharbil,rural area,human error,no,grivous injury,Overturned,not applicable,straight,vilage road,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Teliamura to Moharcherra,23.846627,91.62177
Khowai,Agartala,2024,1,road accident,Netajinagar Area,rural area,human error,no,Injured,head on,not applicable,straight,National Highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Agartala national highway,23.846627,91.62177
Khowai,Khowai,2024,1,road accident,Tant Chowmuhani,rural area,human error,no,Grivious injury,head on,not applicable,curve,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Paharmura to Khowai road,23.84283,91.639163
Khowai,West Khowai town,2024,2,road accident,Baijal Bari,rural area,human error,no,Injured,head on,not applicable,straight,vilage road,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Kok english school premises,24.019799,91.557501
Khowai,Abhoynagar,2023,1,road accident,Ramchandraghat Bazar,rural area,human error,no,Serious injury,head on,not applicable,straight,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Teliamura to Khowai,24.067399,91.065642
North Tripura,Dharmanagar,2023,1,road accident,Batarashi Bazar,urban area,human error,no,Grivious injury,head on,not applicable,straight,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Dharmanagar,24.025459,91.611146
West tripura,Ranirbazar,2024,1,road accident,Chakbosta,rural area,human error,no,no Injury,Overturned,not applicable,curve,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Ranirbazar,23.831603,91.365083
North Tripura,Barmura,2023,1,road accident,Hataikotor,rural area,human error,no,Serious injury,head on,not applicable,curve,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Barmura Hill Range,23.808008,91.558519
Sepahijala,Bishalghar,2023,1,road accident,Rastermatha,urban area,human error,no,Serious injury,head on,not applicable,straight,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Agartala to Sonamura road,23.813694,91.51711
West tripura,Agartala,2024,1,road accident,Route to Agartala,urban area,human error,no,Normal Injury,head on,not applicable,straight,state highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Agartala,23.710156,91.264056
Unakoti District,Kailashahar,2023,1,road accident,Kailashahar,rural area,human error,no,fatal,hit fixed object,not applicable,straight,vilage road,bitumen(tar),Dry,avarage,Night,NULL,center white line,Null,Not Applicable,Kailashahar,24.32714,92.005019
Khowai,Ompi,2023,1,road accident,Ompi chowmohoni,rural area,human error,no,fatal,hit fixed object,not applicable,straight,vilage road,bitumen(tar),Dry,avarage,sunny ,NULL,center white line,Null,Not Applicable,Teliamura,23.849871,91.630824
Khowai,Khowai,2024,1,road accident,Poharmura,urban area,human error,no,fatal,Overturned,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Khowai,23.680941,91.636887
South Tripura,South Tripura,2022,1,road accident,Garddang Bazar,rural area,human error,no,fatal,Overturned,not applicable,straight,highway,bitumen(tar),Dry,avarage,sunny ,NULL,center white line,Null,Asphalated ,Santirbazar,23.310079,91.562995
West tripura,Lefunga,2021,1,road accident,Lefunga,rural area,human error,no,fatal,Crushed,not applicable,straight,highway,bitumen(tar),Dry,avarage,sunny ,NULL,center white line,Null,Not Applicable,Lafunga,23.92135,91.356019
Sepahijala,Bishalghar,2022,1,road accident,Bishalghar ByPass,urban area,human error,no,Grivious injury,head on,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Bishalghar,23.92135,91.356019
Gomati tripura,UdaiPur,2022,1,road accident,paharpur,rural area,human error,no,Injured,colied,not applicable,straight,highway,bitumen(tar),Dry,avarage,sunny ,NULL,center white line,Null,Not Applicable,Amarpur - Jatanbari road,23.420907,91.75816
North Tripura,Gandachara,2022,1,road accident,Gandachara,rural area,human error,yes,Serious injury,hit fixed object,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Amarpur - Jatanbari road,23.606346,91.823076
West tripura,Amtali,2019,1,road accident,Amtali,urban area,human error,no,Serious injury,colied,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Gandachara road,23.781721,91.265967
North Tripura,Ambasha,2018,1,road accident,Gangasagar,rural area,human error,no,fatal,colied,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Amtali police station,24.405823,92.248977
West tripura,Amtali,2018,2,road accident,Amtali area,urban area,human error,no,Serious injury,colied,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Longtarai Road,23.781721,91.265967
Dhalai Tripura,Longtarai vally,2017,1,road accident,Longtarai vally,rural area,human error,no,fatal,Overturned,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Asphalated ,Amtali police station,23.859105,91.958352
Sepahijala,,2012,2,road accident,Dhanpur Bordering,rural area,human error,no,fatal,colied,not applicable,straight,highway,bitumen(tar),Dry,good,sunny ,NULL,center white line,Null,Not Applicable,Sonamura road,23.502005,91.30223
Sepahijala,Dhanpur,2012,2,Road accident,Dhanpur Bordering,rural area,Human Error,no,fatal,colied,not applicable,straight,highway,Bitumen(tar),Dry,Good,sunny ,Single lane,center white line,Null,Not Applicable,Sonamura road,23.502005,91.30223
Khowai Tripura,Barmura,2023,1,Road accident,Barmura Hill,Hilly Area,Human Error,no,Null,Hit Person,not applicable,Curve,Main road,Bitumen(tar),Dry,Good,clear,DualLane,Null,Null,Null,Barmura  main Road,23.784812,91.565488
West tripura,Agartala,2021,2,Road accident,Chittaranjan Road,Town,Human Error,no,fatal,Head on,not applicable,straight,Town Road,Bitumen(tar),Smooth,Good,clear,DualLane,Null,Null,Null,Chittaranjan Road Agartala,23.827419,91.285895
West tripura,Agartala,2021,2,Road accident,infront of Tripura University,Town,Human Error,no,fatal,Head on,not applicable,straight,Main road,Bitumen(tar),Smooth,Good,clear,Single lane,center white line,Not applicable,Null,8 no Highway,23.761934,91.264022
West tripura,Agartala,2021,2,Road accident,Banikya Chowmuhani,Town,Human Error,no,fatal,Head on,not applicable,Not Applicable,Main road,Bitumen(tar),Smooth,Good,clear,DualLane,Null,Not applicable,Null,Banikya Chowmuhani Road,23.864724,91.3428
West tripura,Agartala,2021,2,Road accident,Near Kathia Baba Ashram,Town,Human Error,no,Grivious injury,Hit puchcart,not applicable,straight,Main road,Bitumen(tar),Smooth,Very good,clear,DualLane,Null,Not applicable,Not Applicable,Bypass Road,23.810992,91.323444
West tripura,Mohanpur,2021,2,Road accident,Near Mohanpur School,Town,Human Error,no,fatal,Head on,not applicable,straight,Highway,Bitumen(tar),Smooth,Very good,clear,DualLane,center white line,Null,Not Applicable,National Highway,23.971794,91.371853
West tripura,Amtali,2021,2,Road accident,Amtali Bazar Area,Town,Human Error,no,fatal,Head on,not applicable,straight,Highway,Bitumen(tar),Smooth,Very good,clear,DualLane,center white line,Null,Not Applicable,8 no Highway,23.777772,91.265803
West tripura,Agartala,2022,2,Road accident,Near Bhagatsingh Hostel area,Town,Human Error,no,Grivious injury,Head on,not applicable,Curve,Town Road,Bitumen(tar),Smooth,Good,clear,DualLane,Null,Null,Not Applicable,Lichubagan Road,23.870903,91.285944
Shipahijala Tripura,Boxanagar,2020,2,Road accident,Local Blocked road in Boxanagar,Village,Human Error,no,Grivious injury,head on,not applicable,straight,Village road,Bitumen(tar),Average,Good,clear,Single lane,Null,Null,Not Applicable,boxanagar road,23.610505,91.168945
